종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201P9195","코스피200 C 201909 195.0","60.05","2.40","59.60","60.55","59.50","32.00","60.05","16","240.0","543"
"201P9197","코스피200 C 201909 197.5",,,,,,"13.70","57.60","0","0.0","26"
"201P9200","코스피200 C 201909 200.0",,,,,,"13.70","55.10","0","0.0","1273"
"201P9202","코스피200 C 201909 202.5",,,,,,"13.70","52.60","0","0.0","0"
"201P9205","코스피200 C 201909 205.0",,,,,,"13.70","50.10","0","0.0","1"
"201P9207","코스피200 C 201909 207.5",,,,,,"13.70","47.60","0","0.0","0"
"201P9210","코스피200 C 201909 210.0",,,,,,"13.70","45.10","0","0.0","10"
"201P9212","코스피200 C 201909 212.5",,,,,,"13.70","42.60","0","0.0","89"
"201P9215","코스피200 C 201909 215.0",,,,,,"13.70","40.10","0","0.0","0"
"201P9217","코스피200 C 201909 217.5",,,,,,"13.70","37.65","0","0.0","0"
"201P9220","코스피200 C 201909 220.0","35.60","2.90","35.60","35.60","35.35","16.00","35.60","8","71.0","46"
"201P9222","코스피200 C 201909 222.5",,,,,,"13.70","32.65","0","0.0","3"
"201P9225","코스피200 C 201909 225.0",,,,,,"13.70","30.15","0","0.0","63"
"201P9227","코스피200 C 201909 227.5",,,,,,"13.70","27.65","0","0.0","0"
"201P9230","코스피200 C 201909 230.0",,,,,,"13.70","25.15","0","0.0","0"
"201P9232","코스피200 C 201909 232.5",,,,,,"13.70","22.70","0","0.0","0"
"201P9235","코스피200 C 201909 235.0",,,,,,"13.70","20.20","0","0.0","0"
"201P9237","코스피200 C 201909 237.5",,,,,,"13.70","17.80","0","0.0","0"
"201P9240","코스피200 C 201909 240.0","16.55","1.20","16.15","16.55","16.15","17.00","16.55","3","12.0","48"
"201P9242","코스피200 C 201909 242.5","14.15","1.55","14.10","14.15","14.10","15.00","14.15","7","24.0","58"
"201P9245","코스피200 C 201909 245.0","12.00","1.45","12.10","12.35","11.70","15.50","12.00","48","144.0","158"
"201P9247","코스피200 C 201909 247.5","9.80","1.13","9.59","10.50","9.25","14.50","9.80","37","90.0","79"
"201P9250","코스피200 C 201909 250.0","7.86","1.06","7.77","8.58","7.43","15.80","7.86","365","728.0","2903"
"201P9252","코스피200 C 201909 252.5","6.13","0.80","6.06","6.80","5.73","15.00","6.13","8856","13853.0","8080"
"201P9255","코스피200 C 201909 255.0","4.59","0.65","4.59","5.22","4.29","14.40","4.59","14982","17592.0","6699"
"201P9257","코스피200 C 201909 257.5","3.30","0.47","3.33","3.84","3.07","13.90","3.30","30419","25946.0","9422"
"201P9260","코스피200 C 201909 260.0","2.23","0.29","2.35","2.70","2.12","13.40","2.23","82727","48910.0","14201"
"201P9262","코스피200 C 201909 262.5","1.47","0.19","1.56","1.81","1.39","13.20","1.47","90229","35272.0","16491"
"201P9265","코스피200 C 201909 265.0","0.90","0.09","0.99","1.15","0.87","12.90","0.90","112249","27545.0","31983"
"201P9267","코스피200 C 201909 267.5","0.50","-0.01","0.61","0.69","0.50","12.40","0.50","97416","14071.0","23488"
"201P9270","코스피200 C 201909 270.0","0.27","-0.05","0.36","0.39","0.27","12.20","0.27","81731","6660.0","31637"
"201P9272","코스피200 C 201909 272.5","0.14","-0.03","0.19","0.21","0.14","12.10","0.14","41385","1797.0","29359"
"201P9275","코스피200 C 201909 275.0","0.07","-0.03","0.11","0.11","0.07","11.90","0.07","47517","1116.0","30134"
"201P9277","코스피200 C 201909 277.5","0.04","-0.02","0.06","0.06","0.04","12.20","0.04","29236","362.0","25994"
"201P9280","코스피200 C 201909 280.0","0.02","-0.01","0.03","0.04","0.02","12.30","0.02","14768","110.0","29891"
"201P9282","코스피200 C 201909 282.5","0.02","0.00","0.02","0.03","0.01","13.30","0.02","5905","30.0","16118"
"201P9285","코스피200 C 201909 285.0","0.01","-0.01","0.01","0.02","0.01","13.40","0.01","7217","20.0","20743"
"201P9287","코스피200 C 201909 287.5","0.01","-0.01","0.01","0.01","0.01","14.10","0.01","2547","8.0","12912"
"201P9290","코스피200 C 201909 290.0","0.01","0.00","0.01","0.01","0.01","14.90","0.01","1189","3.0","19743"
"201P9292","코스피200 C 201909 292.5","0.01","0.00","0.01","0.01","0.01","15.90","0.01","7","0.0","7235"
"201P9295","코스피200 C 201909 295.0","0.01","0.00","0.01","0.01","0.01","16.60","0.01","504","1.0","8297"
"201P9297","코스피200 C 201909 297.5","0.01","0.00","0.01","0.01","0.01","17.60","0.01","18","0.0","4490"
"201P9300","코스피200 C 201909 300.0","0.01","0.00","0.01","0.01","0.01","18.60","0.01","3","0.0","7787"
"201P9302","코스피200 C 201909 302.5","0.01","0.00","0.01","0.01","0.01","19.40","0.01","2","0.0","1806"
"201P9305","코스피200 C 201909 305.0",,,,,,"13.70","0.01","0","0.0","5269"
"201P9307","코스피200 C 201909 307.5",,,,,,"13.70","0.01","0","0.0","1330"
"201P9310","코스피200 C 201909 310.0","0.01","0.00","0.01","0.01","0.01","22.10","0.01","1","0.0","6284"
"201P9312","코스피200 C 201909 312.5",,,,,,"13.70","0.01","0","0.0","432"
"201P9315","코스피200 C 201909 315.0",,,,,,"13.70","0.01","0","0.0","2943"
"201P9317","코스피200 C 201909 317.5",,,,,,"13.70","0.01","0","0.0","503"
"201P9320","코스피200 C 201909 320.0",,,,,,"13.70","0.01","1","0.0","1452"
"201P9322","코스피200 C 201909 322.5",,,,,,"13.70","0.01","0","0.0","167"
"201P9325","코스피200 C 201909 325.0",,,,,,"13.70","0.01","0","0.0","743"
"201P9327","코스피200 C 201909 327.5",,,,,,"13.70","0.01","0","0.0","418"
"201P9330","코스피200 C 201909 330.0",,,,,,"13.70","0.01","0","0.0","1275"
"201P9332","코스피200 C 201909 332.5","0.01","0.00","0.01","0.01","0.01","30.40","0.01","1","0.0","529"
"201P9335","코스피200 C 201909 335.0",,,,,,"13.70","0.01","0","0.0","1306"
"201P9337","코스피200 C 201909 337.5",,,,,,"13.70","0.01","0","0.0","707"
"201P9340","코스피200 C 201909 340.0","0.01","0.00","0.01","0.01","0.01","31.70","0.01","1","0.0","931"
"201P9342","코스피200 C 201909 342.5",,,,,,"13.70","0.01","0","0.0","431"
"201P9345","코스피200 C 201909 345.0",,,,,,"13.70","0.01","0","0.0","758"
"201P9347","코스피200 C 201909 347.5",,,,,,"13.70","0.01","0","0.0","92"
"201P9350","코스피200 C 201909 350.0",,,,,,"13.70","0.01","0","0.0","360"
"201P9352","코스피200 C 201909 352.5",,,,,,"13.70","0.01","0","0.0","114"
"201P9355","코스피200 C 201909 355.0",,,,,,"13.70","0.01","0","0.0","1227"
"201P9357","코스피200 C 201909 357.5",,,,,,"13.70","0.01","1","0.0","428"
"201P9360","코스피200 C 201909 360.0",,,,,,"13.70","0.01","0","0.0","1393"
"201P9362","코스피200 C 201909 362.5",,,,,,"13.70","0.01","0","0.0","403"
"201P9365","코스피200 C 201909 365.0","0.01","0.00","0.01","0.01","0.01","38.60","0.01","12","0.0","10759"
"201PA212","코스피200 C 201910 212.5",,,,,,"13.70","42.20","0","0.0","0"
"201PA215","코스피200 C 201910 215.0",,,,,,"13.70","39.75","0","0.0","0"
"201PA217","코스피200 C 201910 217.5",,,,,,"13.70","37.25","0","0.0","0"
"201PA220","코스피200 C 201910 220.0",,,,,,"13.70","34.75","0","0.0","0"
"201PA222","코스피200 C 201910 222.5",,,,,,"13.70","32.25","0","0.0","0"
"201PA225","코스피200 C 201910 225.0",,,,,,"13.70","29.80","0","0.0","0"
"201PA227","코스피200 C 201910 227.5",,,,,,"13.70","27.35","0","0.0","0"
"201PA230","코스피200 C 201910 230.0",,,,,,"13.70","24.95","0","0.0","0"
"201PA232","코스피200 C 201910 232.5",,,,,,"13.70","22.55","0","0.0","0"
"201PA235","코스피200 C 201910 235.0",,,,,,"13.70","20.20","0","0.0","0"
"201PA237","코스피200 C 201910 237.5",,,,,,"13.70","17.95","0","0.0","0"
"201PA240","코스피200 C 201910 240.0",,,,,,"13.70","15.75","0","0.0","0"
"201PA242","코스피200 C 201910 242.5",,,,,,"13.70","13.70","0","0.0","0"
"201PA245","코스피200 C 201910 245.0",,,,,,"13.70","11.75","0","0.0","2"
"201PA247","코스피200 C 201910 247.5","11.40","2.78","11.40","11.40","11.40","15.30","11.40","1","3.0","1"
"201PA250","코스피200 C 201910 250.0","8.60","1.48","8.60","8.60","8.60","17.80","8.60","1","2.0","7"
"201PA252","코스피200 C 201910 252.5","7.78","1.93","7.78","7.78","7.78","14.50","7.78","401","752.0","2001"
"201PA255","코스피200 C 201910 255.0","6.05","0.75","6.00","6.20","6.00","13.80","6.05","9","14.0","20"
"201PA257","코스피200 C 201910 257.5","4.91","0.66","5.00","6.00","4.78","13.80","4.91","23","29.0","22"
"201PA260","코스피200 C 201910 260.0","3.78","0.61","3.50","4.00","3.40","13.40","3.78","23","21.0","65"
"201PA262","코스피200 C 201910 262.5","2.60","0.30","2.70","3.00","2.55","13.10","2.60","93","63.0","99"
"201PA265","코스피200 C 201910 265.0","1.88","0.15","1.98","2.20","1.87","12.90","1.88","300","149.0","512"
