종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"209A7297","코스피위클리 C 2205W3 297.5",,,,,,"18.00","48.05","0","0.0","0"
"209A7300","코스피위클리 C 2205W3 300.0",,,,,,"18.00","45.55","0","0.0","0"
"209A7302","코스피위클리 C 2205W3 302.5",,,,,,"18.00","43.05","0","0.0","0"
"209A7305","코스피위클리 C 2205W3 305.0",,,,,,"18.00","40.55","0","0.0","0"
"209A7307","코스피위클리 C 2205W3 307.5",,,,,,"18.00","38.05","0","0.0","0"
"209A7310","코스피위클리 C 2205W3 310.0",,,,,,"18.00","35.55","0","0.0","0"
"209A7312","코스피위클리 C 2205W3 312.5",,,,,,"18.00","33.05","0","0.0","0"
"209A7315","코스피위클리 C 2205W3 315.0",,,,,,"18.00","30.55","0","0.0","0"
"209A7317","코스피위클리 C 2205W3 317.5",,,,,,"18.00","28.05","0","0.0","0"
"209A7320","코스피위클리 C 2205W3 320.0",,,,,,"18.00","25.55","0","0.0","0"
"209A7322","코스피위클리 C 2205W3 322.5",,,,,,"18.00","23.05","0","0.0","0"
"209A7325","코스피위클리 C 2205W3 325.0",,,,,,"18.00","20.55","0","0.0","0"
"209A7327","코스피위클리 C 2205W3 327.5",,,,,,"18.00","18.05","0","0.0","0"
"209A7330","코스피위클리 C 2205W3 330.0","12.90","3.89","12.90","12.90","12.90","18.00","12.90","1","3.0","1"
"209A7332","코스피위클리 C 2205W3 332.5",,,,,,"17.50","13.10","0","0.0","0"
"209A7335","코스피위클리 C 2205W3 335.0","10.05","4.38","6.61","10.20","6.45","17.00","10.05","68","155.0","70"
"209A7337","코스피위클리 C 2205W3 337.5","9.12","4.91","4.88","9.12","4.77","20.00","9.12","481","729.0","231"
"209A7340","코스피위클리 C 2205W3 340.0","7.06","4.21","3.40","7.18","3.17","19.00","7.06","3797","4050.0","1083"
"209A7342","코스피위클리 C 2205W3 342.5","5.20","3.20","2.23","5.30","2.04","18.00","5.20","15726","12889.0","1791"
"209A7345","코스피위클리 C 2205W3 345.0","3.53","2.30","1.36","3.69","1.22","16.80","3.53","39413","22604.0","3062"
"209A7347","코스피위클리 C 2205W3 347.5","2.35","1.60","0.76","2.39","0.67","16.60","2.35","60954","22165.0","3512"
"209A7350","코스피위클리 C 2205W3 350.0","1.34","0.93","0.40","1.42","0.33","15.80","1.34","86649","18443.0","4194"
"209A7352","코스피위클리 C 2205W3 352.5","0.68","0.45","0.20","0.77","0.14","15.10","0.68","65978","7636.0","7260"
"209A7355","코스피위클리 C 2205W3 355.0","0.32","0.23","0.08","0.38","0.06","14.80","0.32","44393","2327.0","7007"
"209A7357","코스피위클리 C 2205W3 357.5","0.14","0.09","0.04","0.18","0.03","14.60","0.14","35166","852.0","5754"
"209A7360","코스피위클리 C 2205W3 360.0","0.07","0.04","0.02","0.09","0.01","15.10","0.07","38242","364.0","8159"
"209A7362","코스피위클리 C 2205W3 362.5","0.03","0.01","0.01","0.04","0.01","15.30","0.03","5615","31.0","4649"
"209A7365","코스피위클리 C 2205W3 365.0","0.02","0.01","0.01","0.02","0.01","16.40","0.02","6517","17.0","6129"
"209A7367","코스피위클리 C 2205W3 367.5","0.01","0.00","0.01","0.01","0.01","16.80","0.01","4073","10.0","5526"
"209A7370","코스피위클리 C 2205W3 370.0","0.01","0.00","0.01","0.01","0.01","18.60","0.01","85","0.0","2271"
"209A7372","코스피위클리 C 2205W3 372.5",,,,,,"18.60","0.01","0","0.0","3758"
"209A7375","코스피위클리 C 2205W3 375.0",,,,,,"18.60","0.01","0","0.0","216"
"209A7377","코스피위클리 C 2205W3 377.5",,,,,,"18.60","0.01","0","0.0","0"
"209A7380","코스피위클리 C 2205W3 380.0",,,,,,"18.60","0.01","0","0.0","1"
"209A7382","코스피위클리 C 2205W3 382.5",,,,,,"18.60","0.01","0","0.0","2"
"309A7297","코스피위클리 P 2205W3 297.5","0.01","-0.01","0.01","0.02","0.01","37.30","0.01","6930","18.0","6593"
"309A7300","코스피위클리 P 2205W3 300.0","0.01","-0.02","0.02","0.03","0.01","36.10","0.01","18437","48.0","17345"
"309A7302","코스피위클리 P 2205W3 302.5","0.01","-0.08","0.04","0.04","0.01","34.30","0.01","15773","55.0","14514"
