종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"201P1220","코스피200 C 201901 220.0","35.85","-4.85","37.95","38.10","35.85","32.00","35.85","4","37.0","1980"
"201P1222","코스피200 C 201901 222.5",,,,,,"19.60","34.45","0","0.0","0"
"201P1225","코스피200 C 201901 225.0",,,,,,"19.60","31.95","0","0.0","4"
"201P1227","코스피200 C 201901 227.5",,,,,,"19.60","29.45","0","0.0","15"
"201P1230","코스피200 C 201901 230.0",,,,,,"19.60","26.95","0","0.0","0"
"201P1232","코스피200 C 201901 232.5","24.95","-3.00","24.95","24.95","24.95","32.00","24.95","1","6.0","4"
"201P1235","코스피200 C 201901 235.0",,,,,,"19.60","22.00","0","0.0","0"
"201P1237","코스피200 C 201901 237.5",,,,,,"19.60","19.55","0","0.0","0"
"201P1240","코스피200 C 201901 240.0","18.10","-2.30","17.70","18.10","17.70","28.00","18.10","3","13.0","113"
"201P1242","코스피200 C 201901 242.5","15.10","-2.95","15.10","15.10","15.10","27.00","15.10","1","4.0","1"
"201P1245","코스피200 C 201901 245.0","13.00","-3.50","13.05","13.10","13.00","25.00","13.00","4","13.0","31"
"201P1247","코스피200 C 201901 247.5","11.30","-2.05","12.00","12.00","11.30","23.00","11.30","2","6.0","38"
"201P1250","코스피200 C 201901 250.0","9.18","-2.87","9.45","10.10","8.36","23.00","9.18","134","307.0","226"
"201P1252","코스피200 C 201901 252.5","7.34","-1.60","8.30","8.35","6.69","22.50","7.34","188","335.0","150"
"201P1255","코스피200 C 201901 255.0","5.56","-2.48","5.99","6.80","5.09","21.30","5.56","1691","2354.0","1223"
"201P1257","코스피200 C 201901 257.5","4.19","-2.09","4.39","5.21","3.83","20.80","4.19","7936","8637.0","2494"
"201P1260","코스피200 C 201901 260.0","3.04","-1.70","3.13","3.87","2.77","20.30","3.04","36466","29313.0","8604"
"201P1262","코스피200 C 201901 262.5","2.08","-1.36","2.20","2.77","1.90","19.80","2.08","84083","47528.0","11954"
"201P1265","코스피200 C 201901 265.0","1.39","-1.01","1.43","1.86","1.25","19.50","1.39","128186","49178.0","25727"
"201P1267","코스피200 C 201901 267.5","0.86","-0.75","0.90","1.20","0.78","19.10","0.86","158539","38000.0","30126"
"201P1270","코스피200 C 201901 270.0","0.50","-0.52","0.55","0.73","0.46","18.80","0.50","217506","31590.0","50634"
"201P1272","코스피200 C 201901 272.5","0.28","-0.33","0.30","0.41","0.26","18.40","0.28","165645","13488.0","40258"
"201P1275","코스피200 C 201901 275.0","0.15","-0.20","0.16","0.22","0.14","18.20","0.15","135088","5859.0","62529"
"201P1277","코스피200 C 201901 277.5","0.08","-0.12","0.10","0.12","0.07","18.20","0.08","116790","2762.0","55013"
"201P1280","코스피200 C 201901 280.0","0.04","-0.06","0.05","0.06","0.04","18.10","0.04","70641","867.0","71735"
"201P1282","코스피200 C 201901 282.5","0.02","-0.04","0.03","0.04","0.02","18.20","0.02","46076","337.0","43137"
"201P1285","코스피200 C 201901 285.0","0.02","-0.01","0.02","0.03","0.01","19.70","0.02","50722","253.0","54846"
"201P1287","코스피200 C 201901 287.5","0.01","-0.01","0.01","0.02","0.01","19.90","0.01","25141","63.0","42883"
"201P1290","코스피200 C 201901 290.0","0.01","-0.01","0.01","0.01","0.01","21.20","0.01","23920","60.0","31557"
"201P1292","코스피200 C 201901 292.5","0.01","0.00","0.01","0.01","0.01","22.40","0.01","68","0.0","8713"
"201P1295","코스피200 C 201901 295.0","0.01","0.00","0.01","0.01","0.01","23.90","0.01","63","0.0","13128"
"201P1297","코스피200 C 201901 297.5","0.01","0.00","0.01","0.01","0.01","25.60","0.01","5","0.0","5504"
"201P1300","코스피200 C 201901 300.0","0.01","0.00","0.01","0.01","0.01","26.40","0.01","16","0.0","14569"
"201P1302","코스피200 C 201901 302.5","0.01","0.00","0.01","0.01","0.01","27.70","0.01","3","0.0","2695"
"201P1305","코스피200 C 201901 305.0",,,,,,"19.60","0.01","0","0.0","5459"
"201P1307","코스피200 C 201901 307.5",,,,,,"19.60","0.01","0","0.0","2170"
"201P1310","코스피200 C 201901 310.0",,,,,,"19.60","0.01","0","0.0","2144"
"201P1312","코스피200 C 201901 312.5",,,,,,"19.60","0.01","0","0.0","552"
"201P1315","코스피200 C 201901 315.0",,,,,,"19.60","0.01","0","0.0","1106"
"201P1317","코스피200 C 201901 317.5",,,,,,"19.60","0.01","0","0.0","293"
"201P1320","코스피200 C 201901 320.0",,,,,,"19.60","0.01","0","0.0","335"
