종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일정산가,거래량,거래대금,미결제약정
"20938282","코스피위클리 C 2008W4 282.5",,,,,,"64.00",,"0","0.0","0"
"20938285","코스피위클리 C 2008W4 285.0",,,,,,"64.00",,"0","0.0","0"
"20938287","코스피위클리 C 2008W4 287.5",,,,,,"64.00",,"0","0.0","0"
"20938290","코스피위클리 C 2008W4 290.0","24.35","2.85","24.30","24.35","24.30","64.00",,"2","12.0","0"
"20938292","코스피위클리 C 2008W4 292.5","21.80","3.00","21.75","21.80","21.75","64.00",,"2","11.0","0"
"20938295","코스피위클리 C 2008W4 295.0","17.45","0.95","17.05","17.45","17.05","32.00",,"2","9.0","0"
"20938297","코스피위클리 C 2008W4 297.5","14.95","1.20","14.35","14.95","14.35","32.00",,"2","7.0","0"
"20938300","코스피위클리 C 2008W4 300.0","12.60","1.00","12.60","12.60","12.50","3.00",,"3","9.0","0"
"20938302","코스피위클리 C 2008W4 302.5","9.83","0.98","11.00","11.00","9.83","3.00",,"4","10.0","0"
"20938305","코스피위클리 C 2008W4 305.0","6.70","-2.56","8.60","9.93","6.53","3.00",,"159","299.0","0"
"20938307","코스피위클리 C 2008W4 307.5","4.14","-2.58","6.11","7.05","3.93","3.00",,"332","404.0","0"
"20938310","코스피위클리 C 2008W4 310.0","1.69","-2.80","5.53","5.53","1.56","3.00",,"5519","3555.0","0"
"20938312","코스피위클리 C 2008W4 312.5","0.05","-2.54","2.64","2.89","0.05","3.00",,"129300","25795.0","0"
"20938315","코스피위클리 C 2008W4 315.0","0.01","-1.17","1.25","1.39","0.01","9.20",,"235967","14339.0","0"
"20938317","코스피위클리 C 2008W4 317.5","0.01","-0.44","0.52","0.53","0.01","15.40",,"139780","3920.0","0"
"20938320","코스피위클리 C 2008W4 320.0","0.01","-0.14","0.15","0.17","0.01","21.00",,"81431","926.0","0"
"20938322","코스피위클리 C 2008W4 322.5","0.01","-0.03","0.05","0.05","0.01","25.70",,"60030","177.0","0"
"20938325","코스피위클리 C 2008W4 325.0","0.01","0.00","0.01","0.01","0.01","31.20",,"2451","6.0","0"
"20938327","코스피위클리 C 2008W4 327.5","0.01","0.00","0.01","0.01","0.01","34.70",,"1","0.0","0"
"20938330","코스피위클리 C 2008W4 330.0","0.01","0.00","0.01","0.01","0.01","41.70",,"120","0.0","0"
